X,Y
10,0
10,1
10,2
10,3
10,4
11,5
12,6
13,7
13,8
13,9
13,10
13,11
14,12
15,13
16,14
16,15
16,16
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,24
16,25
16,26
16,27
16,28
16,29
