X,Y
24,0
23,1
23,2
22,3
21,4
20,5
19,6
19,7
19,8
18,9
17,10
16,11
15,12
14,13
14,14
14,15
14,16
14,17
14,18
13,19
13,20
13,21
12,22
12,23
11,24
11,25
11,26
10,27
9,28
9,29
