X,Y
8,0
9,1
9,2
10,3
11,4
12,5
13,6
14,7
15,8
15,9
15,10
16,11
17,12
18,13
18,14
18,15
18,16
18,17
18,18
18,19
19,20
19,21
20,22
20,23
21,24
21,25
21,26
22,27
23,28
23,29
