X,Y
24,0
24,1
24,2
24,3
24,4
23,5
22,6
21,7
21,8
21,9
20,10
19,11
18,12
17,13
17,14
17,15
17,16
17,17
17,18
17,19
17,20
17,21
16,22
16,23
15,24
15,25
14,26
14,27
13,28
13,29
