X,Y
9,0
10,1
10,2
11,3
12,4
12,5
13,6
13,7
14,8
15,9
16,10
17,11
18,12
19,13
19,14
19,15
19,16
19,17
19,18
19,19
19,20
19,21
20,22
20,23
21,24
21,25
21,26
22,27
23,28
23,29
