X,Y
16,0
16,1
16,2
16,3
16,4
16,5
16,6
17,7
18,8
19,9
20,10
21,11
22,12
23,13
23,14
23,15
23,16
23,17
23,18
23,19
23,20
23,21
23,22
23,23
24,24
24,25
25,26
25,27
26,28
26,29
